symbol,name,weight
IR,INGERSOLL RAND INC,0.05074
HSY,HERSHEY CO/THE,0.050471
FITB,FIFTH THIRD BANCORP,0.049922
TSCO,TRACTOR SUPPLY COMPANY,0.049502
AEE,AMEREN CORPORATION,0.048868
ATO,ATMOS ENERGY CORP,0.048732
BRO,BROWN + BROWN INC,0.048693
FANG,DIAMONDBACK ENERGY INC,0.048675
TDY,TELEDYNE TECHNOLOGIES INC,0.048173
PPL,PPL CORP,0.048082
AWK,AMERICAN WATER WORKS CO INC,0.048016
BR,BROADRIDGE FINANCIAL SOLUTIO,0.047993
MTD,METTLER TOLEDO INTERNATIONAL,0.047387
LEN,LENNAR CORP A,0.047361
ES,EVERSOURCE ENERGY,0.047061
DXCM,DEXCOM INC,0.046495
ODFL,OLD DOMINION FREIGHT LINE,0.046373
AVB,AVALONBAY COMMUNITIES INC,0.046265
GIS,GENERAL MILLS INC,0.046068
SYF,SYNCHRONY FINANCIAL,0.045734
CINF,CINCINNATI FINANCIAL CORP,0.045086
CNP,CENTERPOINT ENERGY INC,0.045047
VLTO,VERALTO CORP,0.044937
EXE,EXPAND ENERGY CORP,0.044811
CHTR,CHARTER COMMUNICATIONS INC A,0.044121
LDOS,LEIDOS HOLDINGS INC,0.044036
ULTA,ULTA BEAUTY INC,0.044025
CBOE,CBOE GLOBAL MARKETS INC,0.044002
HPQ,HP INC,0.043968
PHM,PULTEGROUP INC,0.043618
EXPE,EXPEDIA GROUP INC,0.043476
NTRS,NORTHERN TRUST CORP,0.0433
FSLR,FIRST SOLAR INC,0.04328
IP,INTERNATIONAL PAPER CO,0.043089
TPR,TAPESTRY INC,0.042227
NTAP,NETAPP INC,0.042213
PTC,PTC INC,0.042199
TTD,TRADE DESK INC/THE  CLASS A,0.042187
FE,FIRSTENERGY CORP,0.041728
STE,STERIS PLC,0.041576
HBAN,HUNTINGTON BANCSHARES INC,0.041484
LYV,LIVE NATION ENTERTAINMENT IN,0.041124
WSM,WILLIAMS SONOMA INC,0.041089
WRB,WR BERKLEY CORP,0.040624
TROW,T ROWE PRICE GROUP INC,0.040252
LH,LABCORP HOLDINGS INC,0.039935
TER,TERADYNE INC,0.039803
PPG,PPG INDUSTRIES INC,0.039704
DOV,DOVER CORP,0.039481
CFG,CITIZENS FINANCIAL GROUP,0.039215
VRSN,VERISIGN INC,0.039144
SW,SMURFIT WESTROCK PLC,0.039141
RF,REGIONS FINANCIAL CORP,0.039074
EL,ESTEE LAUDER COMPANIES CL A,0.03907
TYL,TYLER TECHNOLOGIES INC,0.039044
K,KELLANOVA,0.038935
HUBB,HUBBELL INC,0.038916
PODD,INSULET CORP,0.038843
JBL,JABIL INC,0.038785
NVR,NVR INC,0.038704
BIIB,BIOGEN INC,0.038437
DVN,DEVON ENERGY CORP,0.03843
DRI,DARDEN RESTAURANTS INC,0.038246
CMS,CMS ENERGY CORP,0.038205
DG,DOLLAR GENERAL CORP,0.037584
EQR,EQUITY RESIDENTIAL,0.0375
CHD,CHURCH + DWIGHT CO INC,0.037499
GPN,GLOBAL PAYMENTS INC,0.037177
KHC,KRAFT HEINZ CO/THE,0.037
NI,NISOURCE INC,0.036149
CPAY,CORPAY INC,0.036044
ON,ON SEMICONDUCTOR,0.036019
HAL,HALLIBURTON CO,0.035729
EIX,EDISON INTERNATIONAL,0.03572
CDW,CDW CORP/DE,0.035605
STLD,STEEL DYNAMICS INC,0.035396
DGX,QUEST DIAGNOSTICS INC,0.035317
STZ,CONSTELLATION BRANDS INC A,0.035267
SBAC,SBA COMMUNICATIONS CORP,0.035157
FFIV,F5 INC,0.034489
WAT,WATERS CORP,0.033994
